,,Curriculum,,Normal,
2401,,0.177,,0.07,0.07
2402,,0.06,,0.032,0.032
2403,,0.163,,0.125,0.125
2404,,0.008,,0.149,0.149
2405,,0.111,,0.135,0.135
2406,,0.137,,0.016,0.016
2407,,0.126,,0.041,0.041
2408,,0.038,,0.06,0.06
2409,,0.008,,0.029,0.029
2410,,0.074,,0.065,0.065
2411,,0.036,,0.017,0.017
2412,,0.016,,0.022,0.022
2413,,0.04,,0.065,0.065
2414,,0.028,,0.022,0.022
2415,,0.017,,0.037,0.037
2416,,0.031,,0.032,0.032
2417,,0.072,,0.12,0.12
2418,,0.012,,0.071,0.071
2419,,0.028,,0.039,0.039
2420,,0.006,1.188,0.046,0.046
2421,,0.162,,0.079,0.079
2422,,0.051,,0.027,0.027
2423,,0.033,,0.323,0.323
2424,,0.046,,0.2,0.2
2425,,0.022,,0.029,0.029
2426,,0.005,,0.049,0.049
2427,,0.005,,0.339,0.339
2428,,0.129,,0.05,0.05
2429,,0.013,,0.025,0.025
2430,,0.112,,0.102,0.102
2431,,0.021,,0.091,0.091
2432,,0.066,,0.032,0.032
2433,,0.012,,0.06,0.06
2434,,0.013,,0.009,0.009
2435,,0.008,,0.073,0.073
2436,,0.012,,0.086,0.086
2437,,0.028,,0.093,0.093
2438,,0.003,,0.04,0.04
2439,,0.015,,0.066,0.066
2440,,0.011,0.767,0.029,0.029
2441,,0.015,,0.117,0.117
2442,,0.081,,0.027,0.027
2443,,0.022,,0.115,0.115
2444,,0.036,,0.028,0.028
2445,,0.012,,0.056,0.056
2446,,0.015,,0.025,0.025
2447,,0.028,,0.106,0.106
2448,,0.001,,0.021,0.021
2449,,0.012,,0.045,0.045
2450,,0.005,,0.007,0.007
2451,,0.097,,0.145,0.145
2452,,0.005,,0.225,0.225
2453,,0.01,,0.09,0.09
2454,,0.007,,0.112,0.112
2455,,0.002,,0.035,0.035
2456,,0.003,,0.045,0.045
2457,,0.006,,0.018,0.018
2458,,0.043,,0.087,0.087
2459,,0,,0.043,0.043
2460,,0.012,0.412,0.018,0.018
2461,,0.004,,0.011,0.011
2462,,0.013,,0.019,0.019
2463,,0.026,,0.186,0.186
2464,,0.086,,0.004,0.004
2465,,0.003,,0.01,0.01
2466,,0.004,,0.051,0.051
2467,,0.066,,0.046,0.046
2468,,0.181,,0.017,0.017
2469,,0.005,,0.017,0.017
2470,,0.004,,0.106,0.106
2471,,0.022,,0.032,0.032
2472,,0.038,,0.007,0.007
2473,,0.094,,0.127,0.127
2474,,0.034,,0.011,0.011
2475,,0.001,,0.2,0.2
2476,,0.007,,0.01,0.01
2477,,0.016,,0.006,0.006
2478,,0.006,,0.163,0.163
2479,,0.004,,0.14,0.14
2480,,0.08,0.694,0.024,0.024
2481,,0.016,,0.022,0.022
2482,,0.057,,0.074,0.074
2483,,0.074,,0.169,0.169
2484,,0.008,,0.26,0.26
2485,,0.159,,0.023,0.023
2486,,0.014,,0.064,0.064
2487,,0.038,,0.007,0.007
2488,,0.004,,0.016,0.016
2489,,0.008,,0.127,0.127
2490,,0.009,,0.063,0.063
2491,,0.05,,0.028,0.028
2492,,0.001,,0.026,0.026
2493,,0.007,,0.253,0.253
2494,,0.001,,0.087,0.087
2495,,0.007,,0.987,0.987
2496,,0.049,,0.022,0.022
2497,,0.021,,0.056,0.056
2498,,0.061,,0.073,0.073
2499,,0.188,,0.031,0.031
2500,,0.132,0.904,0.056,0.056
2501,,0.015,,0.017,0.017
2502,,0.047,,0.266,0.266
2503,,0.006,,0.043,0.043
2504,,0.011,,0.048,0.048
2505,,0.019,,0.069,0.069
2506,,0.01,,0.091,0.091
2507,,0.006,,0.042,0.042
2508,,0.005,,0.098,0.098
2509,,0.098,,0.071,0.071
2510,,0.008,,0.117,0.117
2511,,0.047,,0.063,0.063
2512,,1.214,,0.055,0.055
2513,,0.012,,0.083,0.083
2514,,0.021,,0.026,0.026
2515,,0.02,,0.131,0.131
2516,,0.019,,0.078,0.078
2517,,0.046,,0.006,0.006
2518,,0.071,,0.346,0.346
2519,,0.129,,0.027,0.027
2520,,0.059,1.863,0.021,0.021
2521,,0.048,,0.085,0.085
2522,,0.105,,0.042,0.042
2523,,0.059,,0.149,0.149
2524,,0.079,,0.18,0.18
2525,,0.034,,0.011,0.011
2526,,0.079,,0.037,0.037
2527,,0.098,,0.057,0.057
2528,,0.343,,0.053,0.053
2529,,0.025,,0.125,0.125
2530,,0.03,,0.037,0.037
2531,,0.046,,0.066,0.066
2532,,0.04,,0.257,0.257
2533,,0.027,,0.096,0.096
2534,,0.061,,0.008,0.008
2535,,0.011,,0.025,0.025
2536,,0.075,,0.036,0.036
2537,,0.013,,0.357,0.357
2538,,0.018,,0.053,0.053
2539,,0.058,,0.132,0.132
2540,,0.041,1.29,0.031,0.031
2541,,0.035,,0.049,0.049
2542,,0.041,,0.042,0.042
2543,,0.035,,0.051,0.051
2544,,0.044,,0.151,0.151
2545,,0.025,,0.058,0.058
2546,,0.044,,0.047,0.047
2547,,0.071,,0.017,0.017
2548,,0.03,,0.037,0.037
2549,,0.053,,0.047,0.047
2550,,0.112,,0.097,0.097
2551,,0.012,,0.239,0.239
2552,,0.012,,0.145,0.145
2553,,0.012,,0.07,0.07
2554,,0.054,,0.058,0.058
2555,,0.011,,0.113,0.113
2556,,0.037,,0.017,0.017
2557,,0.062,,0.124,0.124
2558,,0.054,,0.08,0.08
2559,,0.015,,0.062,0.062
2560,,0.064,0.823,0.051,0.051
2561,,0.003,,0.133,0.133
2562,,0.047,,0.009,0.009
2563,,0.008,,0.021,0.021
2564,,0.007,,0.05,0.05
2565,,0.044,,0.165,0.165
2566,,0.007,,0.093,0.093
2567,,0.006,,0.182,0.182
2568,,0.003,,0.053,0.053
2569,,0.007,,0.02,0.02
2570,,0.008,,0.022,0.022
2571,,0.008,,0.014,0.014
2572,,0.357,,0.391,0.391
2573,,0.001,,0.118,0.118
2574,,0.078,,0.11,0.11
2575,,0.02,,0.164,0.164
2576,,0.062,,0.052,0.052
2577,,0.048,,0.016,0.016
2578,,0.032,,0.052,0.052
2579,,0.043,,0.047,0.047
2580,,0.013,0.802,0.042,0.042
2581,,0.071,,0.046,0.046
2582,,0.06,,0.776,0.776
2583,,0.114,,0.149,0.149
2584,,0.01,,0.183,0.183
2585,,0.014,,0.026,0.026
2586,,0.023,,0.036,0.036
2587,,0.017,,0.127,0.127
2588,,0.051,,0.563,0.563
2589,,0.118,,0.115,0.115
2590,,0.022,,0.163,0.163
2591,,0.028,,0.028,0.028
2592,,0.105,,0.126,0.126
2593,,0.019,,0.024,0.024
2594,,0.024,,0.195,0.195
2595,,0.007,,0.036,0.036
2596,,0.009,,0.042,0.042
2597,,0.001,,0.104,0.104
2598,,0.011,,0.162,0.162
2599,,0.01,,0.12,0.12
2600,,0.007,0.721,0.102,0.102
2601,,0.056,,0.046,0.046
2602,,0.003,,0.129,0.129
2603,,0.008,,0.075,0.075
2604,,0.106,,0.08,0.08
2605,,0.084,,0.078,0.078
2606,,0.001,,0.083,0.083
2607,,0.007,,0.048,0.048
2608,,0.209,,0.046,0.046
2609,,0.013,,0.047,0.047
2610,,0.016,,0.016,0.016
2611,,0.017,,0.042,0.042
2612,,0.011,,0.678,0.678
2613,,0.05,,0.038,0.038
2614,,0.007,,0.026,0.026
2615,,0.051,,0.056,0.056
2616,,0.03,,0.053,0.053
2617,,0.097,,0.222,0.222
2618,,0.052,,0.109,0.109
2619,,0.013,,0.144,0.144
2620,,0.049,0.88,0.114,0.114
2621,,0.007,,0.018,0.018
2622,,0.009,,0.016,0.016
2623,,0.005,,0.103,0.103
2624,,0.039,,0.034,0.034
2625,,0.555,,0.421,0.421
2626,,0.004,,0.076,0.076
2627,,0.006,,0.09,0.09
2628,,0.032,,0.039,0.039
2629,,0.038,,0.102,0.102
2630,,0.016,,0.037,0.037
2631,,0.02,,0.033,0.033
2632,,0.063,,0.36,0.36
2633,,0.024,,0.12,0.12
2634,,0.048,,0.023,0.023
2635,,0.172,,0.282,0.282
2636,,0.055,,0.382,0.382
2637,,0.245,,0.086,0.086
2638,,0.08,,0.053,0.053
2639,,0.06,,0.184,0.184
2640,,0.015,1.493,0.006,0.006
2641,,0.019,,0.048,0.048
2642,,0.03,,0.035,0.035
2643,,0.04,,0.276,0.276
2644,,0.015,,0.055,0.055
2645,,0.031,,0.063,0.063
2646,,0.033,,0.029,0.029
2647,,0.03,,0.016,0.016
2648,,0.078,,0.018,0.018
2649,,0.023,,0.152,0.152
2650,,0.022,,0.133,0.133
2651,,0.014,,0.095,0.095
2652,,0.018,,0.344,0.344
2653,,0.06,,0.037,0.037
2654,,0.009,,1.086,1.086
2655,,0.037,,0.052,0.052
2656,,0.037,,0.198,0.198
2657,,0.008,,0.056,0.056
2658,,0.002,,0.11,0.11
2659,,0.01,,0.065,0.065
2660,,0.006,0.522,0.037,0.037
2661,,0.117,,0.039,0.039
2662,,0.032,,0.081,0.081
2663,,0.114,,0.082,0.082
2664,,0.007,,0.052,0.052
2665,,0.007,,0.218,0.218
2666,,0.007,,0.169,0.169
2667,,0.018,,0.08,0.08
2668,,0.002,,0.092,0.092
2669,,0.029,,0.297,0.297
2670,,0.03,,0.11,0.11
2671,,0.001,,0.039,0.039
2672,,0.018,,0.019,0.019
2673,,0.075,,0.035,0.035
2674,,0.019,,0.054,0.054
2675,,0.066,,0.148,0.148
2676,,0.011,,0.018,0.018
2677,,0.001,,0.031,0.031
2678,,0.001,,0.066,0.066
2679,,0.143,,0.033,0.033
2680,,0.003,0.701,0.018,0.018
2681,,0.001,,0.125,0.125
2682,,0.012,,0.031,0.031
2683,,0.068,,0.037,0.037
2684,,1.48,,0.223,0.223
2685,,0.157,,0.261,0.261
2686,,0.017,,0.115,0.115
2687,,0.269,,0.066,0.066
2688,,0.119,,0.019,0.019
2689,,0.045,,0.035,0.035
2690,,0.185,,0.028,0.028
2691,,0.063,,0.045,0.045
2692,,0.032,,0.215,0.215
2693,,0.064,,0.022,0.022
2694,,0.237,,0.011,0.011
2695,,0.242,,0.021,0.021
2696,,0.359,,0.042,0.042
2697,,0.142,,0.146,0.146
2698,,0.041,,0.036,0.036
2699,,0.025,,0.044,0.044
2700,,0.026,3.584,0.081,0.081
2701,,0.08,,0.122,0.122
2702,,0.032,,0.153,0.153
2703,,0.057,,0.015,0.015
2704,,0.035,,0.032,0.032
2705,,0.625,,0.111,0.111
2706,,0.051,,0.008,0.008
2707,,0.053,,0.02,0.02
2708,,0.199,,0.095,0.095
2709,,0.095,,0.074,0.074
2710,,0.167,,0.015,0.015
2711,,0.415,,0.037,0.037
2712,,0.073,,0.034,0.034
2713,,0.042,,0.022,0.022
2714,,0.09,,0.057,0.057
2715,,1.618,,0.13,0.13
2716,,0.062,,0.052,0.052
2717,,0.035,,0.039,0.039
2718,,0.092,,0.073,0.073
2719,,0.248,,0.015,0.015
2720,,0.217,4.286,0.052,0.052
2721,,0.161,,0.102,0.102
2722,,0.105,,0.013,0.013
2723,,0.133,,0.012,0.012
2724,,0.059,,0.007,0.007
2725,,0.138,,0.083,0.083
2726,,0.114,,0.03,0.03
2727,,0.095,,0.388,0.388
2728,,0.107,,0.034,0.034
2729,,0.03,,0.431,0.431
2730,,0.033,,0.17,0.17
2731,,0.112,,0.084,0.084
2732,,0.026,,0.039,0.039
2733,,0.04,,0.025,0.025
2734,,0.066,,0.003,0.003
2735,,0.041,,0.028,0.028
2736,,0.056,,0.087,0.087
2737,,0.13,,0.023,0.023
2738,,0.092,,0.066,0.066
2739,,0.128,,0.064,0.064
2740,,0.038,1.704,0.017,0.017
2741,,0.024,,0.069,0.069
2742,,0.019,,0.104,0.104
2743,,0.016,,0.118,0.118
2744,,0.029,,0.103,0.103
2745,,0.057,,0.023,0.023
2746,,0.049,,1.061,1.061
2747,,0.025,,0.018,0.018
2748,,0.013,,0.042,0.042
2749,,0.009,,0.129,0.129
2750,,0.007,,0.129,0.129
2751,,0.017,,0.027,0.027
2752,,0.037,,0.115,0.115
2753,,0.027,,0.039,0.039
2754,,0.006,,0.039,0.039
2755,,0.006,,0.115,0.115
2756,,0.018,,0.1,0.1
2757,,0.029,,0.088,0.088
2758,,0.001,,0.061,0.061
2759,,0.009,,0.07,0.07
2760,,0.462,0.86,0.125,0.125
2761,,0.228,,0.105,0.105
2762,,0.042,,0.03,0.03
2763,,0.012,,0.029,0.029
2764,,0.028,,0.056,0.056
2765,,0.044,,0.034,0.034
2766,,0.043,,0.036,0.036
2767,,0.033,,0.055,0.055
2768,,0.055,,0.143,0.143
2769,,0.014,,0.121,0.121
2770,,0.287,,0.01,0.01
2771,,0.026,,0.012,0.012
2772,,0.029,,0.073,0.073
2773,,0.034,,0.065,0.065
2774,,0.186,,0.08,0.08
2775,,0.08,,0.032,0.032
2776,,0.058,,0.036,0.036
2777,,0.09,,0.277,0.277
2778,,0.026,,0.034,0.034
2779,,0.058,,0.078,0.078
2780,,0.08,1.453,0.027,0.027
2781,,0.072,,0.056,0.056
2782,,0.246,,0.028,0.028
2783,,0.025,,0.104,0.104
2784,,0.006,,0.028,0.028
2785,,0.055,,0.186,0.186
2786,,0.004,,0.028,0.028
2787,,0.035,,0.013,0.013
2788,,0.165,,0.127,0.127
2789,,0.306,,0.045,0.045
2790,,0.086,,0.119,0.119
2791,,0.062,,0.009,0.009
2792,,0.018,,0.02,0.02
2793,,0.067,,0.025,0.025
2794,,0.023,,0.103,0.103
2795,,0.022,,0.335,0.335
2796,,0.023,,0.054,0.054
2797,,0.029,,0.973,0.973
2798,,0.12,,0.442,0.442
2799,,0.095,,0.079,0.079
2800,,0.019,1.478,0.192,0.192
2801,,0.137,,0.04,0.04
2802,,0.045,,0.03,0.03
2803,,0.035,,0.038,0.038
2804,,0.087,,0.033,0.033
2805,,0.034,,0.055,0.055
2806,,0.049,,0.213,0.213
2807,,0.03,,0.191,0.191
2808,,0.023,,0.254,0.254
2809,,0.005,,0.065,0.065
2810,,0.015,,0.103,0.103
2811,,0.038,,0.245,0.245
2812,,0.012,,0.045,0.045
2813,,0.011,,0.121,0.121
2814,,0.019,,0.03,0.03
2815,,0.009,,0.022,0.022
2816,,0.01,,0.077,0.077
2817,,0.024,,0.077,0.077
2818,,0.025,,0.031,0.031
2819,,0.003,,0.065,0.065
2820,,0.226,0.837,0.401,0.401
2821,,0.04,,0.018,0.018
2822,,0.005,,0.081,0.081
2823,,0.019,,0.186,0.186
2824,,0.003,,0.132,0.132
2825,,0.005,,0.14,0.14
2826,,0.017,,0.034,0.034
2827,,0.04,,0.049,0.049
2828,,0.027,,0.029,0.029
2829,,0.114,,0.016,0.016
2830,,0.036,,0.08,0.08
2831,,0.02,,0.07,0.07
2832,,0.022,,0.059,0.059
2833,,0.026,,0.076,0.076
2834,,0.082,,0.032,0.032
2835,,0.1,,0.014,0.014
2836,,0.06,,0.024,0.024
2837,,0.02,,0.06,0.06
2838,,0.013,,0.193,0.193
2839,,0.07,,0.036,0.036
2840,,0.006,0.725,0.033,0.033
2841,,0.012,,0.011,0.011
2842,,0.019,,0.017,0.017
2843,,0.009,,0.087,0.087
2844,,0.098,,0.012,0.012
2845,,0.016,,0.022,0.022
2846,,0.229,,0.035,0.035
2847,,0.017,,0.015,0.015
2848,,0.023,,0.123,0.123
2849,,0.038,,0.01,0.01
2850,,0.037,,0.299,0.299
2851,,0.021,,0.035,0.035
2852,,0.054,,0.006,0.006
2853,,0.023,,0.023,0.023
2854,,0.007,,0.039,0.039
2855,,0.024,,0.021,0.021
2856,,0.022,,0.142,0.142
2857,,0.02,,0.06,0.06
2858,,0.004,,0.017,0.017
2859,,0.005,,0.032,0.032
2860,,0.041,0.719,0.09,0.09
2861,,0.023,,0.015,0.015
2862,,0.007,,0.027,0.027
2863,,0.01,,0.054,0.054
2864,,0.003,,0.1,0.1
2865,,0.086,,0.003,0.003
2866,,0.027,,0.047,0.047
2867,,0.006,,0.225,0.225
2868,,0.028,,0.033,0.033
2869,,0.085,,0.022,0.022
2870,,0.235,,0.118,0.118
2871,,0.021,,0.114,0.114
2872,,0.63,,0.133,0.133
2873,,0.013,,0.052,0.052
2874,,0.019,,0.009,0.009
2875,,0.018,,0.21,0.21
2876,,0.018,,0.026,0.026
2877,,0.068,,0.018,0.018
2878,,0.011,,0.148,0.148
2879,,0.068,,0.054,0.054
2880,,0.024,1.4,0.054,0.054
2881,,0.057,,0.014,0.014
2882,,0.036,,0.045,0.045
2883,,0.039,,0.193,0.193
2884,,0.017,,0.247,0.247
2885,,0.069,,0.02,0.02
2886,,0.031,,0.473,0.473
2887,,0.089,,0.035,0.035
2888,,0.045,,0.132,0.132
2889,,0.034,,0.02,0.02
2890,,0.029,,0.192,0.192
2891,,0.055,,0.037,0.037
2892,,0.031,,0.035,0.035
2893,,0.034,,0.034,0.034
2894,,0.044,,0.156,0.156
2895,,0.086,,0.086,0.086
2896,,0.023,,0.026,0.026
2897,,0.026,,0.017,0.017
2898,,0.009,,0.017,0.017
2899,,0.053,,0.022,0.022
2900,,0.034,0.841,0.054,0.054
2901,,0.035,,0.012,0.012
2902,,0.034,,0.015,0.015
2903,,0.118,,0.041,0.041
2904,,0.008,,0.026,0.026
2905,,0.005,,0.257,0.257
2906,,0.004,,0.055,0.055
2907,,0.015,,0.019,0.019
2908,,0.012,,0.103,0.103
2909,,0.022,,0.469,0.469
2910,,0.001,,0.084,0.084
2911,,0.034,,0.231,0.231
2912,,0.118,,0.059,0.059
2913,,0.03,,0.164,0.164
2914,,0.012,,0.007,0.007
2915,,0.005,,0.215,0.215
2916,,0.013,,0.126,0.126
2917,,0.007,,0.103,0.103
2918,,0.004,,0.014,0.014
2919,,0.006,,0.041,0.041
2920,,0.088,0.571,0.054,0.054
2921,,0.004,,0.08,0.08
2922,,0.033,,0.084,0.084
2923,,0.101,,0.02,0.02
2924,,0.008,,0.162,0.162
2925,,0.002,,0.038,0.038
2926,,0.152,,0.24,0.24
2927,,0.116,,0.073,0.073
2928,,0.022,,0.051,0.051
2929,,0.022,,0.045,0.045
2930,,0.104,,0.046,0.046
2931,,0.016,,0.29,0.29
2932,,0.002,,0.029,0.029
2933,,0.003,,0.191,0.191
2934,,0.043,,0.037,0.037
2935,,0.022,,0.07,0.07
2936,,0.066,,0.029,0.029
2937,,0.015,,0.154,0.154
2938,,0.007,,0.077,0.077
2939,,0.012,,0.186,0.186
2940,,0.024,0.774,0.026,0.026
2941,,0.004,,0.043,0.043
2942,,0.037,,0.029,0.029
2943,,0.004,,0.012,0.012
2944,,0.009,,0.009,0.009
2945,,0.007,,0.028,0.028
2946,,0.036,,0.046,0.046
2947,,0.024,,0.071,0.071
2948,,0.107,,0.026,0.026
2949,,0.057,,0.262,0.262
2950,,0.026,,0.048,0.048
2951,,0.004,,0.325,0.325
2952,,0.06,,0.051,0.051
2953,,0.044,,0.115,0.115
2954,,0.024,,0.028,0.028
2955,,0.006,,0.113,0.113
2956,,0.009,,0.054,0.054
2957,,0.032,,0.044,0.044
2958,,0.063,,0.02,0.02
2959,,0.025,,0.025,0.025
2960,,0.008,0.586,0.047,0.047
2961,,0.002,,0.037,0.037
2962,,0.012,,0.032,0.032
2963,,0.004,,0.015,0.015
2964,,0.01,,0.14,0.14
2965,,0.003,,0.021,0.021
2966,,0.003,,0.194,0.194
2967,,0.041,,0.019,0.019
2968,,0.029,,0.05,0.05
2969,,0.024,,0.459,0.459
2970,,0.001,,0.011,0.011
2971,,0.018,,0.019,0.019
2972,,0.012,,0.067,0.067
2973,,0.011,,0.014,0.014
2974,,0.007,,0.018,0.018
2975,,0.017,,0.089,0.089
2976,,0.054,,0.014,0.014
2977,,0.113,,0.163,0.163
2978,,0.01,,0.028,0.028
2979,,0.001,,0.126,0.126
2980,,0.001,0.373,0.08,0.08
2981,,0.011,,0.04,0.04
2982,,0.108,,0.171,0.171
2983,,0.036,,0.014,0.014
2984,,0.005,,0.084,0.084
2985,,0.028,,0.007,0.007
2986,,0.002,,0.026,0.026
2987,,0.003,,0.01,0.01
2988,,0.013,,0.02,0.02
2989,,0.005,,0.149,0.149
2990,,0.007,,0.052,0.052
2991,,0.007,,0.008,0.008
2992,,0.185,,0.285,0.285
2993,,0.002,,0.194,0.194
2994,,0.008,,0.055,0.055
2995,,0.011,,0.049,0.049
2996,,0.004,,0.019,0.019
2997,,0.025,,0.184,0.184
2998,,0.11,,0.029,0.029
2999,,0.097,,0.066,0.066
3000,,0.058,0.725,0.115,0.115
3001,,0.015,,0.106,0.106
3002,,0.074,,95.786,0.014
3003,,0.012,,0.014,0.014
3004,,0.019,,0.036,0.036
3005,,0.217,,0.096,0.096
3006,,0.034,,0.127,0.127
3007,,0.029,,0.024,0.024
3008,,0.003,,0.106,0.106
3009,,0.007,,0.108,0.108
3010,,0.04,,0.017,0.017
3011,,0.195,,0.019,0.019
3012,,0.039,,0.048,0.048
3013,,0.022,,0.012,0.012
3014,,0.026,,0.085,0.085
3015,,0.026,,0.035,0.035
3016,,0.002,,0.047,0.047
3017,,0.008,,0.034,0.034
3018,,0.077,,0.046,0.046
3019,,0.035,,0.016,0.016
3020,,0.008,0.888,0.119,0.119
3021,,0.091,,0.027,0.027
3022,,0.115,,0.033,0.033
3023,,0.008,,0.11,0.11
3024,,0.006,,0.161,0.161
3025,,0.033,,0.04,0.04
3026,,0.084,,0.005,0.005
3027,,0.028,,0.038,0.038
3028,,0.009,,0.008,0.008
3029,,0.028,,0.012,0.012
3030,,0.054,,0.07,0.07
3031,,0.03,,0.028,0.028
3032,,0.031,,0.037,0.037
3033,,0.023,,0.004,0.004
3034,,0.035,,0.133,0.133
3035,,0.018,,0.011,0.011
3036,,0.044,,0.084,0.084
3037,,0.015,,0.017,0.017
3038,,0.407,,0.045,0.045
3039,,0.01,,0.035,0.035
3040,,0.124,1.193,0.059,0.059
3041,,0.006,,0.095,0.095
3042,,0.027,,0.02,0.02
3043,,0.039,,0.076,0.076
3044,,0.029,,0.205,0.205
3045,,0.277,,0.008,0.008
3046,,0.005,,0.029,0.029
3047,,0.016,,0.032,0.032
3048,,0.034,,0.14,0.14
3049,,0.012,,0.017,0.017
3050,,0.015,,0.009,0.009
3051,,0.035,,0.016,0.016
3052,,0.158,,0.144,0.144
3053,,0.086,,0.329,0.329
3054,,0.316,,0.112,0.112
3055,,0.026,,0.084,0.084
3056,,0.025,,0.023,0.023
3057,,0.07,,0.079,0.079
3058,,0.014,,0.509,0.509
3059,,0.021,,0.014,0.014
3060,,0.093,1.304,0.412,0.412
3061,,0.061,,0.006,0.006
3062,,0.016,,0.029,0.029
3063,,0.144,,0.013,0.013
3064,,0.021,,0.116,0.116
3065,,0.02,,0.182,0.182
3066,,0.02,,0.025,0.025
3067,,0.014,,0.078,0.078
3068,,0.018,,0.02,0.02
3069,,0.01,,0.12,0.12
3070,,0.002,,0.02,0.02
3071,,0.009,,0.015,0.015
3072,,0.029,,0.019,0.019
3073,,0.014,,0.109,0.109
3074,,0.002,,0.705,0.705
3075,,0.009,,0.05,0.05
3076,,0.027,,0.014,0.014
3077,,0.015,,0.012,0.012
3078,,0.014,,0.097,0.097
3079,,0.02,,0.061,0.061
3080,,0.164,0.629,0.022,0.022
3081,,0.002,,0.16,0.16
3082,,0.049,,0.019,0.019
3083,,0.149,,0.064,0.064
3084,,0.088,,0.063,0.063
3085,,0.003,,0.026,0.026
3086,,0.004,,0.029,0.029
3087,,0.189,,0.016,0.016
3088,,0.065,,0.05,0.05
3089,,0.008,,0.085,0.085
3090,,0.03,,0.031,0.031
3091,,0.095,,0.107,0.107
3092,,0.024,,0.051,0.051
3093,,0.048,,0.022,0.022
3094,,0.003,,0.022,0.022
3095,,0.089,,0.046,0.046
3096,,0.021,,0.107,0.107
3097,,0.02,,0.042,0.042
3098,,0.006,,0.047,0.047
3099,,0.087,,0.005,0.005
3100,,0.013,0.993,0.008,0.008
3101,,0.005,,0.008,0.008
3102,,0.041,,0.072,0.072
3103,,0.094,,0.009,0.009
3104,,0.037,,0.012,0.012
3105,,0.03,,0.006,0.006
3106,,0.09,,0.049,0.049
3107,,0.03,,0.006,0.006
3108,,0.008,,0.002,0.002
3109,,0.009,,0.041,0.041
3110,,0.007,,0.076,0.076
3111,,0.057,,0.007,0.007
3112,,0.131,,0.28,0.28
3113,,0.023,,0.041,0.041
3114,,0.008,,0.039,0.039
3115,,0.041,,0.01,0.01
3116,,0.011,,0.016,0.016
3117,,0.011,,0.008,0.008
3118,,0.002,,0.273,0.273
3119,,0.013,,0.097,0.097
3120,,0.002,0.65,0.297,0.297
3121,,0.001,,0.032,0.032
3122,,0.014,,0.03,0.03
3123,,0.004,,0.264,0.264
3124,,0,,0.03,0.03
3125,,0.055,,0.067,0.067
3126,,0.014,,0.026,0.026
3127,,0.078,,0.108,0.108
3128,,0.016,,0.184,0.184
3129,,0.037,,0.062,0.062
3130,,0.014,,0.062,0.062
3131,,0.022,,0.139,0.139
3132,,0.011,,0.015,0.015
3133,,0.021,,0.039,0.039
3134,,0.018,,0.045,0.045
3135,,0.009,,0.05,0.05
3136,,0,,0.017,0.017
3137,,0.019,,0.018,0.018
3138,,0.006,,0.085,0.085
3139,,0.173,,0.014,0.014
3140,,0.001,0.513,0.129,0.129
3141,,0.005,,0.038,0.038
3142,,0.014,,0.02,0.02
3143,,0.003,,0.034,0.034
3144,,0.001,,0.181,0.181
3145,,0.001,,0.007,0.007
3146,,0.004,,0.275,0.275
3147,,0.011,,0.037,0.037
3148,,0.003,,0.013,0.013
3149,,0.028,,0.027,0.027
3150,,0.016,,0.052,0.052
3151,,0.024,,0.049,0.049
3152,,0.01,,0.113,0.113
3153,,0.001,,0.162,0.162
3154,,0,,0.012,0.012
3155,,0.013,,0.027,0.027
3156,,0.001,,0.018,0.018
3157,,0.003,,0.025,0.025
3158,,0.001,,0.013,0.013
3159,,0.091,,0.026,0.026
3160,,0.005,0.235,0.079,0.079
3161,,0.004,,0.016,0.016
3162,,0.048,,0.055,0.055
3163,,0.003,,0.133,0.133
3164,,0.031,,0.086,0.086
3165,,0.003,,0.004,0.004
3166,,0.022,,0.06,0.06
3167,,0.014,,0.126,0.126
3168,,0.022,,0.12,0.12
3169,,0.004,,0.023,0.023
3170,,0.018,,0.07,0.07
3171,,0.011,,0.035,0.035
3172,,0.001,,0.053,0.053
3173,,0,,0.007,0.007
3174,,0.004,,0.045,0.045
3175,,0.001,,0.01,0.01
3176,,0.047,,0.013,0.013
3177,,0.01,,0.017,0.017
3178,,0.022,,0.036,0.036
3179,,0.079,,0.023,0.023
3180,,0.026,0.37,0.01,0.01
3181,,0.185,,0.024,0.024
3182,,0.024,,0.003,0.003
3183,,0.011,,0.215,0.215
3184,,0.019,,0.023,0.023
3185,,0.025,,0.025,0.025
3186,,0.06,,0.022,0.022
3187,,0.038,,0.034,0.034
3188,,0.072,,0.022,0.022
3189,,0.001,,0.014,0.014
3190,,0.012,,0.064,0.064
3191,,0.129,,0.034,0.034
3192,,0.003,,0.112,0.112
3193,,0.008,,0.023,0.023
3194,,0.001,,0.073,0.073
3195,,0.027,,0.047,0.047
3196,,0.002,,0.038,0.038
3197,,0.012,,0.018,0.018
3198,,0.005,,0.005,0.005
3199,,0.025,,0.015,0.015
3200,,0.008,0.667,0.016,0.016
3201,,0.001,,0.01,0.01
3202,,0.021,,0.277,0.277
3203,,0.022,,0.069,0.069
3204,,0,,0.018,0.018
3205,,0.32,,0.01,0.01
3206,,0.019,,0.001,0.001
3207,,0.021,,0.054,0.054
3208,,0.006,,0.003,0.003
3209,,0.385,,0.003,0.003
3210,,0.004,,0.036,0.036
3211,,0.035,,0.015,0.015
3212,,0.024,,0.007,0.007
3213,,0.002,,0.057,0.057
3214,,0.022,,0.02,0.02
3215,,0.093,,0.094,0.094
3216,,0.014,,0.009,0.009
