,,Curriculum,,Normal,
196,,0.298,,0.616,0.616
197,,0.237,,0.716,0.716
198,,0.247,,0.612,0.612
199,,0.224,,0.606,0.606
200,,0.233,7.819,1.006,1.006
201,,0.321,,0.443,0.443
202,,0.227,,0.576,0.576
203,,0.229,,0.742,0.742
204,,0.22,,0.463,0.463
205,,0.396,,0.876,0.876
206,,0.395,,0.504,0.504
207,,0.274,,1.062,1.062
208,,0.281,,0.658,0.658
209,,0.359,,0.368,0.368
210,,0.158,,0.532,0.532
211,,0.198,,0.433,0.433
212,,0.178,,0.613,0.613
213,,0.212,,0.832,0.832
214,,0.238,,0.572,0.572
215,,0.318,,0.511,0.511
216,,0.353,,0.384,0.384
217,,0.275,,0.596,0.596
218,,0.224,,1.056,1.056
219,,0.259,,0.363,0.363
220,,0.324,5.439,0.748,0.748
221,,0.231,,1.123,1.123
222,,0.231,,0.705,0.705
223,,0.152,,0.594,0.594
224,,0.214,,0.793,0.793
225,,0.29,,0.817,0.817
226,,0.333,,0.741,0.741
227,,0.233,,0.517,0.517
228,,0.708,,0.44,0.44
229,,0.325,,0.449,0.449
230,,0.361,,0.558,0.558
231,,0.314,,0.565,0.565
232,,0.293,,0.486,0.486
233,,0.343,,0.436,0.436
234,,0.235,,1.038,1.038
235,,0.242,,0.5,0.5
236,,0.345,,0.413,0.413
237,,0.478,,0.435,0.435
238,,0.424,,1.086,1.086
239,,0.273,,0.367,0.367
240,,0.356,6.381,0.689,0.689
241,,0.362,,0.633,0.633
242,,0.276,,0.538,0.538
243,,0.588,,0.502,0.502
244,,0.44,,0.874,0.874
245,,0.296,,0.687,0.687
246,,0.4,,0.782,0.782
247,,0.239,,0.399,0.399
248,,0.126,,0.475,0.475
249,,0.172,,1.006,1.006
250,,0.276,,0.399,0.399
251,,0.194,,0.744,0.744
252,,0.301,,0.463,0.463
253,,0.366,,0.418,0.418
254,,0.249,,0.411,0.411
255,,0.303,,0.604,0.604
256,,0.83,,0.565,0.565
257,,0.352,,0.286,0.286
258,,0.408,,0.451,0.451
259,,0.361,,0.608,0.608
260,,0.38,6.919,0.456,0.456
261,,0.232,,1.272,1.272
262,,0.212,,0.265,0.265
263,,0.221,,0.62,0.62
264,,0.167,,0.439,0.439
265,,0.279,,0.328,0.328
266,,0.136,,0.491,0.491
267,,0.112,,0.38,0.38
268,,0.191,,0.356,0.356
269,,0.358,,0.741,0.741
270,,0.264,,0.525,0.525
271,,0.262,,0.659,0.659
272,,0.157,,0.439,0.439
273,,0.177,,0.508,0.508
274,,0.201,,0.58,0.58
275,,0.111,,0.271,0.271
276,,0.146,,0.619,0.619
277,,0.135,,0.514,0.514
278,,0.091,,0.31,0.31
279,,0.218,,0.328,0.328
280,,0.184,3.854,0.438,0.438
281,,0.199,,0.69,0.69
282,,0.138,,0.369,0.369
283,,0.329,,0.491,0.491
284,,0.253,,0.333,0.333
285,,0.137,,0.304,0.304
286,,0.223,,0.541,0.541
287,,0.232,,0.808,0.808
288,,0.356,,0.286,0.286
289,,0.306,,0.431,0.431
290,,0.21,,0.507,0.507
291,,0.232,,0.23,0.23
292,,0.156,,0.945,0.945
293,,0.463,,0.276,0.276
294,,0.181,,0.696,0.696
295,,0.235,,0.204,0.204
296,,0.231,,0.416,0.416
297,,0.269,,0.324,0.324
298,,0.242,,0.374,0.374
299,,0.558,,0.312,0.312
300,,0.254,5.204,0.825,0.825
301,,0.248,,0.564,0.564
302,,0.424,,0.461,0.461
303,,0.196,,0.335,0.335
304,,0.152,,0.791,0.791
305,,0.159,,0.531,0.531
306,,0.2,,0.422,0.422
307,,0.145,,0.251,0.251
308,,0.199,,0.423,0.423
309,,0.186,,0.22,0.22
310,,0.262,,0.313,0.313
311,,0.222,,0.474,0.474
312,,0.124,,0.281,0.281
313,,0.159,,0.38,0.38
314,,0.081,,0.244,0.244
315,,0.062,,0.705,0.705
316,,0.141,,0.352,0.352
317,,0.136,,0.395,0.395
318,,0.24,,0.2,0.2
319,,0.093,,0.708,0.708
320,,0.157,3.586,0.572,0.572
321,,0.157,,0.253,0.253
322,,0.048,,0.441,0.441
323,,0.059,,0.61,0.61
324,,0.239,,0.513,0.513
325,,0.125,,0.598,0.598
326,,0.151,,0.275,0.275
327,,0.224,,0.649,0.649
328,,0.059,,0.492,0.492
329,,0.167,,0.34,0.34
330,,0.299,,0.353,0.353
331,,0.108,,0.322,0.322
332,,0.159,,0.456,0.456
333,,0.106,,0.824,0.824
334,,0.099,,0.312,0.312
335,,0.09,,0.637,0.637
336,,0.124,,0.407,0.407
337,,0.101,,0.428,0.428
338,,0.397,,0.478,0.478
339,,0.435,,0.278,0.278
340,,0.129,3.276,0.265,0.265
341,,0.08,,0.172,0.172
342,,0.199,,0.324,0.324
343,,0.07,,0.518,0.518
344,,0.079,,0.538,0.538
345,,0.106,,0.984,0.984
346,,0.165,,0.855,0.855
347,,0.107,,0.407,0.407
348,,0.063,,0.92,0.92
349,,0.088,,0.51,0.51
350,,0.146,,0.406,0.406
351,,0.111,,0.392,0.392
352,,0.571,,0.619,0.619
353,,0.291,,0.498,0.498
